frame,silent,amp,pitch,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
55,0,47,35,47,14,6,2,6,5,1,2,0,3
56,0,46,32,46,17,6,1,5,4,1,1,1,5
57,0,47,33,45,16,6,1,5,3,2,1,1,5
58,0,51,35,44,13,5,2,5,6,3,2,2,4
59,0,36,39,62,20,4,5,3,6,4,3,4,7
60,0,37,44,51,20,4,7,4,6,5,2,1,7
61,0,38,45,38,19,5,6,3,5,5,4,2,6
62,0,31,45,46,18,4,4,2,6,5,3,3,7
63,0,15,45,54,16,6,3,4,7,1,2,3,5
64,0,6,45,57,18,5,5,4,5,1,2,4,6
65,1,0,0,57,18,5,5,4,5,1,2,4,6
66,1,0,0,57,18,5,5,4,5,1,2,4,6
67,1,0,0,57,18,5,5,4,5,1,2,4,6
68,1,0,0,57,18,5,5,4,5,1,2,4,6
69,1,0,0,57,18,5,5,4,5,1,2,4,6
70,0,1,0,77,19,3,3,2,5,3,3,2,5
71,0,1,0,78,21,1,4,3,6,5,6,4,5
72,0,29,42,58,13,6,4,5,3,2,2,1,7
73,0,38,42,51,15,5,3,6,3,3,1,2,6
74,0,43,42,52,14,6,2,6,3,3,2,0,7
75,0,48,40,46,14,5,2,6,5,2,2,0,5
76,0,47,39,44,14,6,2,6,4,3,2,0,5
77,0,48,40,42,15,6,2,6,4,3,3,0,5
78,0,48,41,45,13,6,2,6,5,2,2,1,5
79,0,34,48,62,17,6,4,4,6,2,2,5,7
80,0,33,46,66,21,7,4,4,7,2,1,4,6
81,0,34,47,63,19,6,5,4,7,3,2,3,6
82,0,26,48,53,18,6,4,4,6,3,2,4,6
83,0,13,49,73,19,6,5,4,6,2,3,5,6
84,0,7,50,64,20,5,5,2,5,3,4,3,5
85,1,0,0,64,20,5,5,2,5,3,4,3,5
86,1,0,0,64,20,5,5,2,5,3,4,3,5
87,1,0,0,64,20,5,5,2,5,3,4,3,5
88,1,0,0,64,20,5,5,2,5,3,4,3,5
89,1,0,0,64,20,5,5,2,5,3,4,3,5
90,0,3,0,68,17,5,5,3,3,2,3,1,6
91,0,3,0,79,15,4,4,2,4,2,4,4,7
92,0,41,44,60,17,5,4,5,2,4,0,3,6
93,0,38,42,66,16,5,4,4,1,4,0,5,7
94,0,42,42,64,17,5,4,5,2,4,0,5,6
95,0,45,41,56,18,5,4,5,2,4,0,3,6
96,0,45,41,53,18,4,4,5,2,5,0,3,6
97,0,46,41,54,18,4,4,5,2,5,0,4,5
98,0,49,42,51,16,5,3,5,4,3,0,2,7
99,0,39,44,62,16,6,4,5,4,2,1,4,7
100,0,28,43,78,19,5,4,2,7,2,2,6,7
101,0,29,45,64,19,6,6,3,7,0,3,4,7
102,0,20,45,72,18,5,5,2,7,2,5,4,7
103,0,13,47,73,17,6,7,3,6,3,3,4,7
104,1,0,0,73,17,6,7,3,6,3,3,4,7
105,1,0,0,73,17,6,7,3,6,3,3,4,7
106,1,0,0,73,17,6,7,3,6,3,3,4,7
107,1,0,0,73,17,6,7,3,6,3,3,4,7
108,1,0,0,73,17,6,7,3,6,3,3,4,7
109,1,0,0,73,17,6,7,3,6,3,3,4,7
