phrase,frame,silent,amp,stopbit,pitch,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
0,63,0,15,0,45,54,16,6,3,4,7,1,2,3,5
0,64,0,6,0,45,57,18,5,5,4,5,1,2,4,6
0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,70,0,1,0,0,77,19,3,3,2,5,3,3,2,5
0,71,0,1,0,0,78,21,1,4,3,6,5,6,4,5
0,72,0,29,0,42,58,13,6,4,5,3,2,2,1,7
0,73,0,38,0,42,51,15,5,3,6,3,3,1,2,6
0,74,0,43,0,42,52,14,6,2,6,3,3,2,0,7
0,75,0,48,0,40,46,14,5,2,6,5,2,2,0,5
0,76,0,47,0,39,44,14,6,2,6,4,3,2,0,5
0,77,0,48,0,40,42,15,6,2,6,4,3,3,0,5
0,78,0,48,0,41,45,13,6,2,6,5,2,2,1,5
0,79,0,34,0,48,62,17,6,4,4,6,2,2,5,7
0,80,0,33,0,46,66,21,7,4,4,7,2,1,4,6
0,81,0,34,0,47,63,19,6,5,4,7,3,2,3,6
0,82,0,26,0,48,53,18,6,4,4,6,3,2,4,6
0,83,0,13,0,49,73,19,6,5,4,6,2,3,5,6
0,84,0,7,0,50,64,20,5,5,2,5,3,4,3,5
0,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,0,3,0,0,68,17,5,5,3,3,2,3,1,6
0,91,0,3,0,0,79,15,4,4,2,4,2,4,4,7
0,92,0,41,0,44,60,17,5,4,5,2,4,0,3,6
0,93,0,38,0,42,66,16,5,4,4,1,4,0,5,7
0,94,0,42,0,42,64,17,5,4,5,2,4,0,5,6
0,95,0,45,0,41,56,18,5,4,5,2,4,0,3,6
0,96,0,45,0,41,53,18,4,4,5,2,5,0,3,6
0,97,0,46,0,41,54,18,4,4,5,2,5,0,4,5
0,98,0,49,0,42,51,16,5,3,5,4,3,0,2,7
0,99,0,39,0,44,62,16,6,4,5,4,2,1,4,7
0,100,0,28,0,43,78,19,5,4,2,7,2,2,6,7
0,101,0,29,0,45,64,19,6,6,3,7,0,3,4,7
0,102,0,20,0,45,72,18,5,5,2,7,2,5,4,7
0,103,0,13,0,47,73,17,6,7,3,6,3,3,4,7
0,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,110,0,1,0,0,76,16,6,6,3,5,2,1,4,7
0,111,0,32,0,46,67,13,6,4,4,3,1,1,5,7
0,112,0,40,0,44,63,16,6,3,5,4,2,0,2,6
0,113,0,42,0,44,62,13,6,3,5,4,1,0,5,7
0,114,0,44,0,44,64,16,6,3,5,4,2,0,4,7
0,115,0,45,0,45,65,15,5,3,4,4,2,0,4,7
0,116,0,41,0,46,62,13,6,3,5,6,1,1,7,5
0,117,0,30,0,45,69,17,6,7,3,6,4,1,5,7
0,118,0,30,0,45,70,19,5,7,3,7,4,2,2,7
0,119,0,23,0,46,55,15,5,6,4,7,4,2,4,7
0,120,0,10,0,45,70,17,6,6,4,7,2,1,4,7
0,121,0,4,0,45,75,17,4,6,3,5,2,3,3,7
0,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,127,0,2,0,0,84,12,6,4,3,5,1,2,6,7
0,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,129,0,37,0,49,63,13,5,4,4,5,3,0,3,5
0,130,0,38,0,50,62,12,5,4,4,5,3,0,3,5
0,131,0,38,0,50,67,12,5,4,4,4,2,0,4,6
0,132,0,40,0,51,66,13,5,4,4,4,2,0,4,5
0,133,0,41,0,52,66,12,6,4,5,4,2,1,4,6
0,134,0,43,0,52,61,14,4,5,4,5,4,0,5,6
0,135,0,28,0,52,74,14,6,6,3,5,3,0,7,7
0,136,0,16,0,52,87,15,6,5,3,6,2,3,5,7
0,137,0,8,0,52,94,17,6,7,3,5,3,3,3,7
0,138,0,5,0,52,83,16,5,7,2,5,2,5,4,7
0,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,145,0,1,0,0,88,19,4,6,3,5,2,2,2,6
0,146,0,8,0,57,92,14,4,4,3,5,4,1,4,7
0,147,0,29,0,56,62,14,5,4,5,4,4,0,3,5
0,148,0,36,0,55,64,13,5,3,5,4,3,0,3,6
0,149,0,36,0,54,66,13,6,4,5,4,3,0,4,7
0,150,0,33,0,52,69,14,6,4,5,5,2,0,6,7
0,151,0,23,0,52,82,18,6,4,4,7,1,2,4,7
0,152,0,19,0,54,70,16,7,5,4,6,2,2,6,7
0,153,0,15,0,53,58,17,7,4,5,7,1,2,2,6
0,154,0,8,0,54,59,16,5,5,3,7,0,2,4,7
0,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,163,0,17,0,59,68,13,6,3,5,5,0,3,3,6
0,164,0,22,0,58,64,14,6,3,5,5,2,1,2,6
0,165,0,33,0,59,61,14,6,3,6,4,3,0,2,7
0,166,0,23,0,60,70,15,7,3,6,5,0,1,5,7
0,167,0,12,0,60,80,17,6,4,3,7,0,4,5,7
0,168,0,8,0,60,71,16,7,5,4,7,0,3,5,7
1,0,0,24,0,44,41,24,3,7,3,4,3,2,0,5
1,1,0,46,0,45,74,17,1,6,5,4,1,2,7,6
1,2,0,54,0,45,69,14,2,7,4,3,0,4,7,5
1,3,0,53,0,46,65,11,3,7,4,3,1,5,6,5
1,4,0,51,0,47,64,12,2,7,6,2,2,6,6,4
1,5,0,54,0,46,58,19,0,5,7,4,0,4,7,4
1,6,0,50,0,46,63,17,1,6,7,3,0,5,6,3
1,7,0,49,0,46,66,15,2,7,6,2,1,6,5,3
1,8,0,48,0,46,64,17,1,7,7,2,1,6,5,3
1,9,0,48,0,46,64,16,2,7,7,2,1,6,5,2
1,10,0,49,0,46,61,20,1,7,7,2,1,6,5,2
1,11,0,48,0,46,66,19,3,7,6,2,1,6,5,2
1,12,0,46,0,46,76,20,4,7,4,2,2,6,2,3
1,13,0,42,0,46,89,23,3,6,4,2,1,5,3,4
1,14,0,35,0,45,113,18,4,3,2,2,2,5,2,7
1,15,0,38,0,45,111,20,3,3,3,2,2,5,2,7
1,16,0,34,0,44,114,19,3,2,3,2,2,6,2,7
1,17,0,33,0,44,115,19,3,2,3,2,3,6,2,7
1,18,0,25,0,44,119,17,3,3,3,1,4,6,2,7
1,19,0,20,0,46,122,21,3,2,3,2,3,6,2,7
1,20,0,11,0,45,125,19,2,2,3,2,3,6,2,7
1,21,0,7,0,47,123,19,4,3,3,3,3,4,1,6
1,22,0,5,0,47,120,20,3,5,2,3,0,4,2,7
1,23,0,4,0,47,113,23,2,5,2,5,1,3,3,4
1,24,0,4,0,41,85,25,5,5,1,6,2,2,3,2
1,25,0,11,0,41,121,8,3,6,2,5,2,3,5,5
1,26,0,23,0,46,118,11,5,4,2,4,1,2,4,5
1,27,0,32,0,46,109,18,2,5,3,4,2,3,2,6
1,28,0,37,0,46,97,11,2,7,4,2,1,4,6,7
1,29,0,37,0,46,97,7,4,7,2,1,3,6,6,4
1,30,0,40,0,47,93,8,5,7,3,2,1,4,6,6
1,31,0,42,0,47,92,10,5,6,3,2,1,5,6,6
1,32,0,45,0,47,83,12,4,6,4,2,1,2,7,6
1,33,0,50,0,47,78,15,5,5,3,4,0,3,7,5
1,34,0,52,0,47,74,19,4,4,2,4,1,2,7,7
1,35,0,53,0,47,72,23,5,4,1,4,2,3,6,7
1,36,0,51,0,47,76,22,5,3,0,4,3,4,6,4
1,37,0,49,0,47,87,20,3,3,0,5,4,5,5,4
1,38,0,47,0,46,86,21,2,5,0,5,5,4,4,5
1,39,0,50,0,46,76,19,4,4,0,6,3,5,6,4
1,40,0,52,0,47,71,18,4,5,1,6,1,5,7,3
1,41,0,51,0,47,65,15,6,4,2,4,1,6,7,3
1,42,0,52,0,47,64,13,5,5,2,4,0,7,6,2
1,43,0,52,0,47,63,12,5,6,1,3,2,6,7,3
1,44,0,54,0,47,61,13,4,6,3,3,1,4,7,5
1,45,0,54,0,47,62,13,4,6,2,3,1,5,7,5
1,46,0,51,0,47,64,11,5,5,2,4,0,6,6,3
1,47,0,51,0,47,65,11,5,6,1,3,3,6,5,4
1,48,0,48,0,47,65,10,6,5,0,5,2,7,5,2
1,49,0,51,0,46,68,13,4,6,1,4,2,6,6,4
1,50,0,50,0,46,66,14,5,5,2,3,2,6,6,3
1,51,0,50,0,46,70,18,3,6,1,3,4,5,4,5
1,52,0,47,0,46,83,18,2,6,1,4,5,5,3,5
1,53,0,39,0,47,99,17,4,4,0,4,4,4,4,5
1,54,0,19,0,46,121,9,4,4,2,6,3,3,0,4
1,55,0,14,0,46,122,8,4,4,2,6,4,3,0,3
1,56,0,10,0,46,125,12,1,5,4,5,3,4,1,4
1,57,0,15,0,45,101,30,4,2,3,3,2,4,1,4
1,58,0,13,0,0,0,21,7,5,3,6,2,4,3,4
1,59,0,15,0,0,0,11,3,6,4,6,3,4,3,5
1,60,0,9,0,0,0,17,4,5,5,7,3,3,0,5
1,61,0,3,0,0,5,22,4,6,6,6,2,1,3,7
2,0,0,8,0,36,92,29,1,4,2,5,0,2,5,7
2,1,0,35,0,48,91,23,2,5,3,4,0,1,6,7
2,2,0,46,0,47,74,25,2,5,3,4,0,1,6,7
2,3,0,57,0,47,65,22,2,5,2,3,0,3,6,7
2,4,0,55,0,47,60,22,3,5,2,4,0,4,6,7
2,5,0,53,0,46,62,19,4,5,2,3,0,6,6,5
2,6,0,53,0,45,62,20,4,5,2,2,1,4,6,5
2,7,0,55,0,46,59,24,3,5,3,3,0,4,6,6
2,8,0,44,0,46,82,23,3,5,2,3,0,5,6,5
2,9,0,18,0,48,104,20,4,4,3,3,2,7,4,2
2,10,0,8,0,47,90,21,4,4,3,4,2,7,6,3
2,11,0,7,0,46,79,24,2,4,2,5,2,5,4,5
2,12,0,4,0,0,33,31,1,5,4,6,1,4,1,3
2,13,0,3,0,0,0,31,3,5,4,5,2,3,3,2
2,14,0,6,0,0,0,29,5,6,4,5,3,4,2,7
2,15,0,5,0,0,0,30,4,7,2,7,2,2,5,6
2,16,0,1,0,0,70,29,1,4,1,6,0,4,6,6
2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,23,0,15,0,42,30,30,1,5,3,4,1,3,2,5
2,24,0,47,0,42,51,25,1,6,4,3,1,2,3,7
2,25,0,53,0,47,58,24,1,6,3,3,0,4,4,6
2,26,0,57,0,47,52,27,2,5,3,4,0,3,4,6
2,27,0,41,0,49,76,27,2,4,2,4,2,5,7,6
2,28,0,25,0,50,109,22,2,5,2,4,2,5,5,4
2,29,0,10,0,50,94,25,3,6,2,3,0,5,7,5
2,30,0,4,0,51,93,23,2,5,3,5,2,5,5,3
2,31,0,15,0,0,9,28,3,4,3,5,2,5,1,2
2,32,0,8,0,0,32,31,3,7,2,5,1,5,4,3
2,33,0,47,0,43,76,20,4,5,0,7,2,5,2,6
2,34,0,62,0,45,48,23,4,4,2,3,2,4,4,7
2,35,0,60,0,46,43,21,4,4,3,3,2,3,5,7
2,36,0,56,0,46,49,19,4,4,3,3,3,3,6,7
2,37,0,56,0,46,48,19,4,3,3,4,2,2,6,7
2,38,0,56,0,46,47,19,4,3,3,4,2,2,6,7
2,39,0,56,0,46,45,18,5,3,4,4,1,2,6,6
2,40,0,55,0,46,46,18,5,3,4,4,1,3,7,5
2,41,0,55,0,46,46,18,5,3,4,4,1,3,7,5
2,42,0,56,0,46,42,19,5,4,2,5,1,2,6,6
2,43,0,56,0,46,37,20,5,6,2,5,2,2,5,6
2,44,0,43,0,48,48,22,6,5,1,6,1,3,7,6
2,45,0,20,0,47,76,22,5,5,2,6,3,5,6,4
2,46,0,10,0,47,62,20,6,5,1,6,2,6,7,6
2,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,50,0,4,0,0,32,18,2,6,3,4,2,4,1,4
2,51,0,2,0,0,77,22,5,2,2,6,1,4,2,3
2,52,0,1,0,0,78,24,3,7,1,6,2,6,2,5
3,0,0,2,0,0,42,31,3,7,4,4,2,3,0,1
3,1,0,8,0,0,0,29,6,5,4,5,3,5,2,5
3,2,0,7,0,0,0,24,6,6,4,6,3,5,4,5
3,3,0,14,0,0,0,27,6,5,4,7,2,5,3,4
3,4,0,17,0,0,0,24,4,4,4,6,2,4,4,6
3,5,0,11,0,0,0,27,4,6,3,7,2,4,4,5
3,6,0,11,0,0,0,21,5,7,2,6,4,4,3,6
3,7,0,4,0,0,0,24,6,7,3,6,0,2,3,5
3,8,0,1,0,0,50,31,3,3,2,5,1,4,2,4
3,9,0,27,0,0,0,20,3,4,3,6,2,5,5,5
3,10,0,59,0,37,42,28,4,5,2,2,1,2,5,6
3,11,0,62,0,45,42,27,5,5,2,1,1,3,6,7
3,12,0,62,0,46,34,24,5,7,2,2,0,2,5,7
3,13,0,62,0,45,38,23,6,6,1,2,1,2,6,7
3,14,0,55,0,46,48,23,7,5,0,3,1,3,7,7
3,15,0,35,0,48,79,24,6,2,0,5,2,6,7,4
3,16,0,19,0,50,76,25,7,3,0,4,2,5,6,5
3,17,0,8,0,52,71,24,7,3,0,4,4,5,6,5
3,18,0,5,0,50,98,24,5,3,1,5,4,6,4,4
3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,24,0,2,0,0,40,30,1,5,6,5,1,4,1,4
3,25,0,3,0,0,0,31,6,5,5,7,1,2,2,3
3,26,0,2,0,0,0,31,6,6,5,5,0,4,3,3
3,27,0,3,0,0,0,31,5,6,5,7,0,3,2,4
3,28,0,5,0,0,0,29,5,5,6,7,0,4,2,4
3,29,0,5,0,0,0,31,4,7,5,7,2,1,3,5
3,30,0,29,0,47,61,29,2,6,2,4,1,3,3,6
3,31,0,52,0,45,73,25,2,5,3,4,1,3,5,7
3,32,0,55,0,45,59,26,2,6,4,4,1,2,5,7
3,33,0,57,0,45,57,25,2,6,5,3,1,3,5,6
3,34,0,56,0,46,54,24,1,7,6,3,1,3,4,5
3,35,0,58,0,46,52,25,1,6,6,3,1,3,3,5
3,36,0,57,0,46,53,25,1,6,6,3,2,3,3,4
3,37,0,57,0,46,55,25,1,6,6,3,2,3,2,4
3,38,0,56,0,46,57,25,1,6,6,3,2,3,2,4
3,39,0,56,0,46,55,26,1,5,6,3,2,3,1,4
3,40,0,55,0,46,58,27,2,5,6,3,3,3,1,4
3,41,0,53,0,46,61,27,2,5,6,3,3,3,1,4
3,42,0,53,0,47,64,26,2,5,5,3,3,3,0,4
3,43,0,50,0,46,70,25,2,6,5,3,3,3,0,5
3,44,0,48,0,46,74,24,3,5,5,3,3,3,0,5
3,45,0,45,0,46,82,24,4,4,5,3,2,4,0,4
3,46,0,38,0,46,97,23,4,3,4,2,2,4,0,5
3,47,0,37,0,46,104,22,4,3,3,2,3,4,1,7
3,48,0,33,0,46,105,21,3,3,4,1,3,4,1,7
3,49,0,27,0,46,116,18,3,3,3,2,3,6,1,7
3,50,0,20,0,46,121,16,1,4,2,5,2,7,1,7
3,51,0,15,0,44,123,20,2,3,2,2,2,7,1,7
3,52,0,12,0,44,123,19,3,3,1,3,1,5,1,7
3,53,0,8,0,44,120,22,4,3,2,2,1,3,1,7
3,54,0,5,0,43,99,27,3,2,5,2,1,5,0,6
4,0,0,2,0,0,28,31,2,6,5,3,3,3,0,4
4,1,0,4,0,0,0,31,4,5,4,6,2,6,1,3
4,2,0,6,0,0,0,24,6,6,4,6,4,4,3,6
4,3,0,7,0,0,0,25,5,6,4,5,4,4,3,7
4,4,0,8,0,0,0,23,4,7,2,6,4,4,3,5
4,5,0,10,0,0,0,18,4,6,3,6,2,4,2,5
4,6,0,6,0,0,0,14,2,7,5,7,4,3,0,5
4,7,0,5,0,0,0,16,2,6,6,7,3,4,3,3
4,8,0,17,0,0,15,17,4,6,3,3,2,6,1,4
4,9,0,42,0,40,38,25,5,5,4,5,2,4,0,5
4,10,0,57,0,43,62,21,3,5,6,0,2,3,3,5
4,11,0,62,0,44,51,21,2,5,6,2,3,2,2,6
4,12,0,62,0,44,54,20,2,5,4,3,3,0,3,7
4,13,0,62,0,44,50,19,2,5,3,4,2,0,3,7
4,14,0,62,0,45,45,20,3,4,3,3,2,1,3,7
4,15,0,61,0,45,41,22,4,4,3,2,2,2,3,7
4,16,0,54,0,46,54,22,5,3,2,2,3,3,5,6
4,17,0,57,0,46,49,23,5,4,2,1,2,4,6,5
4,18,0,56,0,46,46,23,6,5,2,2,1,3,5,6
4,19,0,36,0,23,85,21,4,3,2,3,3,4,6,6
4,20,0,24,0,54,112,19,4,2,3,5,4,5,2,2
4,21,0,14,0,52,103,23,5,2,2,4,3,6,5,3
4,22,0,7,0,50,95,21,4,3,1,4,3,6,5,4
4,23,0,4,0,50,93,20,3,3,2,4,3,6,4,4
4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,29,0,5,0,0,0,29,6,5,2,5,1,2,2,3
4,30,0,5,0,0,0,31,7,4,3,4,1,2,2,4
4,31,0,27,0,38,60,31,0,2,2,4,3,5,4,7
4,32,0,30,0,45,72,31,0,2,3,6,3,5,2,5
4,33,0,32,0,46,98,26,0,6,1,4,2,6,5,4
4,34,0,44,0,46,84,24,3,4,2,3,0,5,5,5
4,35,0,52,0,45,64,26,3,4,3,4,1,3,5,6
4,36,0,54,0,46,59,25,2,5,4,4,1,3,5,6
4,37,0,53,0,46,60,23,2,6,5,3,1,3,5,6
4,38,0,53,0,47,60,23,2,7,5,3,1,4,4,5
4,39,0,50,0,46,65,22,2,6,6,3,1,4,4,4
4,40,0,49,0,47,64,22,1,7,6,3,2,3,3,4
4,41,0,47,0,47,68,21,2,7,6,3,2,3,2,4
4,42,0,44,0,47,75,20,2,7,5,2,3,3,2,5
4,43,0,42,0,47,79,21,2,7,5,2,3,3,2,5
4,44,0,41,0,47,81,22,2,7,5,2,3,2,2,6
4,45,0,39,0,47,87,21,2,7,4,2,3,2,2,6
4,46,0,38,0,47,90,22,2,6,4,2,3,2,2,6
4,47,0,37,0,46,94,23,2,5,4,2,3,3,2,6
4,48,0,34,0,46,99,22,2,5,3,2,3,3,2,6
4,49,0,32,0,46,105,20,3,5,2,3,3,3,2,7
4,50,0,25,0,46,114,17,3,3,2,3,3,4,3,7
4,51,0,19,0,46,118,14,3,2,3,3,4,4,3,7
4,52,0,15,0,45,121,12,2,3,5,4,4,6,1,7
4,53,0,13,0,45,122,13,1,3,4,6,3,7,1,5
4,54,0,10,0,45,123,17,1,1,5,4,4,7,1,5
4,55,0,9,0,44,124,19,1,1,4,4,3,7,1,6
4,56,0,7,0,44,125,17,3,2,1,3,2,6,4,7
4,57,0,5,0,44,122,23,3,3,2,2,0,5,1,6
5,0,0,6,0,0,26,28,4,4,4,6,3,3,0,2
5,1,0,8,0,0,23,29,5,3,4,4,2,3,3,5
5,2,0,7,0,0,42,29,4,6,3,4,1,3,2,7
5,3,0,57,0,45,71,28,3,4,2,3,1,2,4,6
5,4,0,60,0,45,59,29,4,5,2,3,1,2,4,7
5,5,0,62,0,46,57,28,4,4,1,2,1,4,5,5
5,6,0,62,0,46,40,26,6,6,2,1,0,4,6,6
5,7,0,62,0,46,36,27,6,7,2,1,0,4,6,6
5,8,0,60,0,46,43,28,6,6,1,0,1,4,6,5
5,9,0,57,0,45,53,28,6,5,0,0,2,5,6,5
5,10,0,54,0,45,81,26,4,3,0,3,5,6,4,3
5,11,0,48,0,46,93,25,2,2,0,4,5,7,3,3
5,12,0,39,0,47,88,28,3,4,0,3,3,7,3,3
5,13,0,13,0,51,123,19,1,2,0,7,5,6,2,3
5,14,0,7,0,49,115,24,2,3,1,6,3,5,2,5
5,15,0,5,0,49,86,29,3,4,0,4,3,4,2,4
5,16,0,3,0,0,12,30,5,7,4,5,2,4,2,2
5,17,0,8,0,0,11,30,2,6,3,5,2,5,0,2
5,18,0,8,0,0,0,27,7,6,4,6,2,5,2,6
5,19,0,7,0,0,0,29,5,5,5,7,3,4,2,2
5,20,0,5,0,0,0,30,4,6,5,5,2,6,3,3
5,21,0,5,0,0,0,29,5,5,5,7,2,5,3,4
5,22,0,5,0,0,0,31,5,5,5,6,2,5,2,2
5,23,0,8,0,0,0,28,5,5,5,7,2,6,3,2
5,24,0,7,0,0,0,31,6,6,5,6,1,3,4,4
5,25,0,8,0,0,0,31,5,5,4,4,2,3,1,2
5,26,0,47,0,47,75,29,1,4,1,4,0,4,4,7
5,27,0,57,0,47,79,22,3,3,2,3,1,3,6,6
5,28,0,58,0,47,72,20,4,4,3,4,0,4,6,6
5,29,0,57,0,46,72,16,5,4,3,3,0,6,5,5
5,30,0,57,0,47,68,14,5,6,2,4,1,6,5,4
5,31,0,55,0,47,67,13,6,7,1,4,3,5,5,4
5,32,0,54,0,47,69,12,6,6,2,4,2,5,4,5
5,33,0,53,0,47,70,13,6,7,2,3,2,4,5,5
5,34,0,50,0,47,72,12,6,7,2,3,3,3,5,4
5,35,0,51,0,47,75,14,5,7,3,3,3,2,4,5
5,36,0,49,0,47,78,14,5,7,2,3,3,2,4,6
